CustomerKey,Gender,TotalChildren,HouseOwnerFlag,SalesTerritoryRegion,SalesTerritoryCountry,SalesTerritoryGroup,EnglishEducation,EnglishOccupation,Age,DateFirstPurchase,CommuteDistance,NumberCarsOwned,YearlyIncomeBand
11000,M,2,1,Australia,Australia,Pacific,Bachelors,Professional,49,2011-01-19,1-2 Miles,0,80k to 120k
11001,M,3,0,Australia,Australia,Pacific,Bachelors,Professional,44,2011-01-15,0-1 Miles,1,40K TO 80K
11002,M,3,1,Australia,Australia,Pacific,Bachelors,Professional,49,2011-01-07,2-5 Miles,1,40K TO 80K
11003,F,0,0,Australia,Australia,Pacific,Bachelors,Professional,47,2010-12-29,5-10 Miles,1,40K TO 80K
11004,F,5,1,Australia,Australia,Pacific,Bachelors,Professional,41,2011-01-23,1-2 Miles,4,80k to 120k
11005,M,0,1,Australia,Australia,Pacific,Bachelors,Professional,44,2010-12-30,5-10 Miles,1,40K TO 80K
11006,F,0,1,Australia,Australia,Pacific,Bachelors,Professional,44,2011-01-24,5-10 Miles,1,40K TO 80K
11007,M,3,1,Australia,Australia,Pacific,Bachelors,Professional,51,2011-01-09,0-1 Miles,2,40K TO 80K
11008,F,4,1,Australia,Australia,Pacific,Bachelors,Professional,45,2011-01-25,10+ Miles,3,40K TO 80K
11009,M,0,0,Australia,Australia,Pacific,Bachelors,Professional,51,2011-01-27,5-10 Miles,1,40K TO 80K
11010,F,0,0,Australia,Australia,Pacific,Bachelors,Professional,51,2011-01-14,5-10 Miles,1,40K TO 80K
11011,M,4,1,Australia,Australia,Pacific,Bachelors,Professional,51,2010-12-30,10+ Miles,4,40K TO 80K
11012,F,2,1,Northwest,United States,North America,Bachelors,Management,41,2013-03-16,1-2 Miles,2,80k to 120k
11013,M,2,1,Northwest,United States,North America,Bachelors,Management,41,2013-04-13,0-1 Miles,3,80k to 120k
11014,F,3,0,Northwest,United States,North America,Bachelors,Management,47,2013-03-23,1-2 Miles,3,80k to 120k
11015,F,0,0,Southwest,United States,North America,Partial College,Skilled Manual,36,2013-01-18,5-10 Miles,1,Below 40k
11016,M,0,1,Southwest,United States,North America,Partial College,Skilled Manual,36,2013-02-09,5-10 Miles,1,Below 40k
11017,F,4,1,Australia,Australia,Pacific,High School,Skilled Manual,71,2011-01-12,5-10 Miles,2,Below 40k
11018,M,2,1,Australia,Australia,Pacific,Partial College,Clerical,65,2011-01-17,5-10 Miles,2,Below 40k
11019,M,0,0,Canada,Canada,North America,High School,Skilled Manual,37,2013-02-12,5-10 Miles,2,40K TO 80K
11020,M,0,0,Canada,Canada,North America,High School,Skilled Manual,36,2012-12-29,1-2 Miles,2,40K TO 80K
11021,F,0,0,Northwest,United States,North America,Partial College,Skilled Manual,36,2013-01-23,1-2 Miles,1,40K TO 80K
11022,M,0,1,Northwest,United States,North America,Partial College,Skilled Manual,36,2013-01-20,5-10 Miles,1,40K TO 80K
11023,M,0,1,Southwest,United States,North America,Partial College,Skilled Manual,36,2013-02-17,1-2 Miles,1,40K TO 80K
11024,M,0,1,Southwest,United States,North America,Partial College,Skilled Manual,36,2013-06-27,5-10 Miles,2,40K TO 80K
11025,M,2,1,Australia,Australia,Pacific,Partial High School,Clerical,69,2011-01-06,1-2 Miles,2,Below 40k
11026,M,2,0,Australia,Australia,Pacific,Partial College,Clerical,69,2011-01-23,1-2 Miles,2,Below 40k
11027,M,2,1,Australia,Australia,Pacific,Partial College,Clerical,68,2011-01-16,5-10 Miles,2,Below 40k
11028,F,2,1,Australia,Australia,Pacific,Partial College,Clerical,69,2011-01-26,1-2 Miles,2,Below 40k
11029,M,2,1,Australia,Australia,Pacific,Partial College,Clerical,68,2011-01-19,1-2 Miles,2,Below 40k
11030,F,2,1,Australia,Australia,Pacific,Partial High School,Clerical,62,2011-02-05,1-2 Miles,2,Below 40k
11031,F,4,1,Australia,Australia,Pacific,High School,Skilled Manual,67,2011-02-01,1-2 Miles,2,Below 40k
11032,F,4,1,Australia,Australia,Pacific,High School,Skilled Manual,68,2011-02-18,1-2 Miles,2,Below 40k
11033,M,4,1,Australia,Australia,Pacific,High School,Skilled Manual,62,2011-02-15,5-10 Miles,2,Below 40k
11034,F,4,1,Australia,Australia,Pacific,High School,Skilled Manual,68,2011-02-01,5-10 Miles,2,Below 40k
11035,F,2,1,Australia,Australia,Pacific,Partial High School,Clerical,67,2011-02-06,1-2 Miles,2,Below 40k
11036,F,0,1,Southwest,United States,North America,Partial College,Skilled Manual,36,2013-01-22,1-2 Miles,2,40K TO 80K
11037,F,0,0,Canada,Canada,North America,Partial High School,Clerical,37,2013-01-20,5-10 Miles,2,40K TO 80K
11038,F,2,1,Australia,Australia,Pacific,Partial High School,Clerical,67,2011-02-07,5-10 Miles,2,Below 40k
11039,M,3,1,Australia,Australia,Pacific,Partial College,Clerical,66,2011-02-07,5-10 Miles,2,Below 40k
11040,M,0,1,Northwest,United States,North America,Partial College,Skilled Manual,37,2013-04-03,1-2 Miles,2,Below 40k
11041,F,0,1,Southwest,United States,North America,Partial College,Skilled Manual,37,2013-01-14,1-2 Miles,2,40K TO 80K
11042,F,0,1,Southwest,United States,North America,Partial College,Skilled Manual,38,2013-01-21,0-1 Miles,2,40K TO 80K
