CustomerKey,TotalOrderNumber,TotalSpent,TotalProfit,TotalTransaction,AverageBasket
19897,3,596.9600,281.0735,1,3
14324,4,5121.4282,2289.1058,3,1
22814,1,4.9900,3.1237,1,1
28387,3,583.9700,220.3118,1,3
11407,1,53.9900,12.4177,1,1
11384,3,48.9700,30.6551,1,3
17218,9,6907.5625,2828.2837,3,3
15844,4,3134.9500,1374.9553,2,2
22791,4,600.4600,234.1945,1,4
18377,4,2394.9700,1101.3079,1,4
12904,5,5915.5300,2472.1572,2,2
12827,4,4461.3996,2051.7479,2,2
24311,3,624.9700,229.7418,1,3
15821,2,30.9700,19.3872,1,2
12804,5,5948.2300,2492.6274,2,2
16857,2,54.9800,14.6214,1,2
14301,4,5142.7496,2294.4671,3,1
14424,7,6998.8625,2841.7183,3,2
26867,3,1728.2700,635.5572,1,3
24334,2,574.9800,218.2441,1,2
25808,4,77.9600,45.2428,1,4
17341,3,35.9600,22.5109,1,3
18277,5,6070.5900,2326.0330,2,2
28264,3,5997.3300,2331.0116,2,1
11284,5,55.4800,34.7304,2,2
22691,3,2457.3300,897.1535,1,3
27328,3,68.9700,43.1751,1,3
21317,5,108.9500,44.8465,1,5
27228,1,2071.4196,953.5637,1,1
28848,1,2181.5625,860.8787,1,1
18861,2,133.4900,83.5647,1,2
22353,2,39.9800,25.0274,1,2
19797,2,6021.6200,2295.3779,2,1
15237,4,66.2600,41.4786,2,2
23727,2,34.9800,21.8974,1,2
20833,2,1903.4800,703.6936,2,1
29323,2,78.9800,45.8814,1,2
21878,5,4663.7925,1773.6196,2,2
16780,2,54.9800,14.6214,1,2
21855,3,579.9700,266.1495,1,3
13863,2,71.9700,25.2572,1,2
20381,1,69.9900,43.8137,1,1
13840,4,3010.0325,1227.7157,2,2
27451,3,37.4300,23.4311,1,3
28164,1,3578.2700,1406.9758,1,1
23750,2,1155.4800,429.3139,1,2
13740,2,56.9700,35.6632,1,2
15921,7,6549.2900,2650.5989,3,2
11968,3,8079.0500,3432.9764,3,1
13763,2,30.9700,19.3872,1,2
24411,3,71.5800,44.8090,1,3
11868,11,247.0100,154.6280,5,2
26767,3,1331.9700,494.6915,2,1
24434,3,2398.0500,910.8835,1,3
13365,2,24.2700,15.1930,1,2
15137,6,161.9400,76.4342,2,3
24895,1,4.9900,3.1237,1,1
21978,2,37.2900,23.3435,1,2
26306,3,2800.4382,1226.2611,2,1
29223,3,4355.6100,1709.7847,2,1
16880,4,2343.9600,1065.8156,1,4
20710,4,3240.3200,1193.4369,2,2
16382,2,59.9800,37.5474,1,2
27351,2,123.9800,56.2314,1,2
23850,1,539.9900,196.3404,1,1
15008,9,170.5300,103.1915,3,3
18254,2,6021.6200,2295.3779,2,1
11307,5,5964.2200,2502.6372,2,2
29309,2,2419.0600,924.0358,1,2
14908,2,39.9800,25.0274,1,2
21394,3,4657.5125,1769.6884,2,1
21294,1,9.9900,6.2537,1,1
27935,4,113.9600,51.5428,1,4
20610,2,6021.6200,2295.3779,2,1
18938,1,69.9900,43.8137,1,1
18838,3,2376.9600,1090.0337,1,3
16173,5,43.2100,27.0493,2,2
26206,2,2478.3400,910.3058,1,2
29432,5,1307.3100,496.1990,1,5
12452,4,5935.5500,2484.6898,2,2
26515,4,89.4600,56.0018,1,4
26492,2,29.9800,18.7674,1,2
27726,1,3578.2700,1406.9758,1,1
14985,2,29.9800,18.7674,1,2
26083,3,5794.0500,2400.9314,2,1
12429,1,35.0000,21.9100,1,1
22462,3,553.9700,205.0918,1,3
27680,4,35.7200,22.3606,1,4
16196,7,7237.3600,2915.9948,3,2
27703,1,4.9900,3.1237,1,1
13465,2,75.9700,26.1772,1,2
16405,3,3262.8300,1285.7729,2,1
20733,3,23.9700,11.4451,1,3
24563,2,6.2800,3.9312,1,2
21669,2,2483.9800,914.7634,2,1
24872,2,23.7800,14.8862,1,2
29200,2,6.2800,3.9312,1,2
23936,4,123.9600,77.5988,1,4
21019,4,629.9600,297.4432,1,4
14676,5,5188.4082,2326.7471,3,1
16989,1,2319.9900,1054.3705,1,1
17925,2,4698.7600,1814.3860,2,1
25456,1,4.9900,3.1237,1,1
22253,2,1174.4800,419.8279,1,2
28012,2,7.2800,4.5572,1,2
18961,4,2369.9600,1085.6516,1,4
23289,2,34.9800,21.8974,1,2
12320,4,77.9600,45.2428,2,2
24225,2,93.4900,58.5247,1,2
18486,2,6021.6200,2295.3779,2,1
15569,2,3077.9800,1339.2921,2,1
27142,4,791.3200,311.5603,1,4
12343,4,5567.9282,2451.6238,3,1
15546,2,39.9800,25.0274,1,2
18463,4,4726.0400,1831.4632,2,2
20172,3,3150.3982,1179.3307,2,1
11516,5,5915.5400,2476.4517,2,2
27119,3,1228.8300,468.4506,1,3
23398,3,553.9700,205.0918,1,3
25147,2,39.9800,25.0274,1,2
17232,2,4347.7600,1756.6874,2,1
19313,4,2533.4600,945.7378,2,2
16757,1,4.9900,3.1237,1,1
18529,2,39.9800,25.0274,1,2
25931,2,27.2800,17.0772,1,2
15260,4,45.9500,25.2046,1,4
23375,2,564.4800,211.6711,1,2
27059,4,118.9600,54.6728,1,4
15652,6,5160.0800,2081.3937,3,2
24142,2,7.2800,4.5572,1,2
18569,1,4.9900,3.1237,1,1
18546,2,29.4800,18.4544,1,2
27036,2,7.2800,4.5572,1,2
17049,2,4347.7600,1756.6874,2,1
25639,3,1228.8300,468.4506,1,3
25562,2,1239.0882,482.2923,2,1
17149,2,1735.9800,640.3837,1,2
11576,3,4486.4096,2071.6924,2,1
14132,3,3804.0782,1574.1859,2,1
11599,6,5957.2200,2494.6951,2,3
15529,3,1587.4700,667.8987,2,1
13096,13,230.6800,140.8453,4,3
25539,3,1277.8300,474.1846,1,3
25662,3,94.9700,59.4511,1,3
15629,2,39.9800,25.0274,1,2
21563,2,39.9900,25.0337,1,2
22499,2,23.7800,14.8862,1,2
18669,1,69.9900,43.8137,1,1
19605,3,5314.2500,2047.3595,2,1
12612,6,5657.9082,2486.5712,3,2
24019,1,1120.4900,407.4102,1,1
26936,2,1249.8400,481.6029,1,2
11676,3,91.2800,35.7612,2,1
26000,3,32.2700,20.2009,1,3
28556,2,1155.4800,429.3139,1,2
20089,1,4.9900,3.1237,1,1
20189,1,4.9900,3.1237,1,1
21025,3,69.9700,43.8011,1,3
21125,3,27.7700,17.3839,1,3
27972,3,67.9300,42.5241,1,3
14716,6,5300.2600,2177.6408,3,2
11015,3,2500.9700,1167.6640,1,3
26100,2,7.2800,4.5572,1,2
16113,5,2391.9500,1103.7056,1,5
21686,1,9.9900,6.2537,1,1
17985,6,6016.6600,2462.7154,3,2
26475,2,30.4800,15.5204,1,2
18085,4,1764.9600,638.7291,1,4
23919,3,58.4700,36.6021,1,3
24626,3,38.8800,24.3388,1,3
14032,8,6859.4296,2943.5510,3,2
26598,2,33.9800,21.2714,1,2
24603,2,39.9800,25.0274,1,2
16588,8,6994.5825,2885.5901,3,2
24703,1,4.9900,3.1237,1,1
26498,4,89.4600,56.0018,1,4
13571,3,144.4700,70.6421,1,3
16488,8,232.4200,120.5547,2,4
12160,4,5945.2300,2475.2417,2,2
13073,1,21.9800,13.7595,1,1
24042,2,12.9800,8.1254,1,2
27159,4,791.3200,311.5603,1,4
14945,4,4260.2400,1741.2656,2,2
14616,3,1538.5782,679.4772,2,1
11699,5,122.2500,51.5884,2,2
21586,1,1120.4900,407.4102,1,1
27643,2,54.9800,14.6214,1,2
17072,4,123.9600,57.8028,2,2
19230,2,78.9800,45.8814,1,2
23558,2,34.9800,21.8974,1,2
23458,4,41.9500,26.2606,1,4
19130,5,664.9500,299.5509,1,5
27743,2,1155.4800,429.3139,1,2
21102,4,793.4600,361.1567,1,4
11115,6,113.7100,71.1823,3,2
29017,1,3578.2700,1406.9758,1,1
