CustomerKey,AverageVisitPerMonth,AverageSpentEachMonth,TotalVisit,TotalMonth
28387,3,583.9700,3,1
22814,1,4.9900,1,1
11407,1,53.9900,1,1
15675,2,2402.1266,7,3
18546,2,29.4800,2,1
27082,1,782.9900,1,1
18377,4,2394.9700,4,1
15844,2,1567.4750,4,2
17149,2,1735.9800,2,1
11576,1,2243.2048,3,2
12804,2,2974.1150,5,2
24288,3,71.5800,3,1
26913,4,607.9600,4,1
25516,1,21.4900,1,1
14447,2,1692.6987,5,2
25685,1,21.4900,1,1
14278,2,88.7300,5,2
15506,1,776.2400,2,2
28310,1,4.9900,1,1
16903,1,4.9900,1,1
13050,1,1883.7498,5,3
21171,2,37.2900,2,1
25854,2,27.2800,2,1
19605,1,2657.1250,3,2
27328,3,68.9700,3,1
23873,4,628.9700,4,1
28556,2,1155.4800,2,1
11238,3,2514.2566,9,3
17487,2,7.2800,2,1
22645,3,553.9700,3,1
21417,2,1155.4800,2,1
12466,2,58.9800,2,1
20189,1,4.9900,1,1
19943,1,1556.4850,3,2
18715,2,61.9800,4,2
23229,2,28.4800,2,1
27972,3,67.9300,3,1
20833,2,1903.4800,2,1
13863,2,71.9700,2,1
25101,2,68.4900,2,1
26100,2,7.2800,2,1
12389,1,49.9900,1,1
16090,4,604.9600,4,1
11991,2,2709.3400,6,3
23060,6,126.9300,6,1
28141,2,94.4800,2,1
17962,2,1388.7612,4,2
24626,3,38.8800,3,1
15921,3,3274.6450,7,2
14032,4,3429.7148,8,2
24703,1,4.9900,1,1
26498,4,89.4600,4,1
28725,2,78.9800,2,1
12160,2,2972.6150,4,2
16488,4,116.2100,8,2
22476,2,58.9800,2,1
24042,2,12.9800,2,1
27159,4,791.3200,4,1
26269,2,13.9800,2,1
20604,2,93.4900,2,1
14616,1,769.2891,3,2
24932,3,71.5800,3,1
21586,1,1120.4900,1,1
29309,2,2419.0600,2,1
17072,2,61.9800,4,2
19130,5,664.9500,5,1
23458,4,41.9500,4,1
27743,2,1155.4800,2,1
20020,2,78.9800,2,1
19528,2,78.9800,2,1
21002,1,1496.1650,3,2
16150,3,629.9700,3,1
18071,2,68.4900,2,1
12237,5,4470.3896,5,1
27557,1,782.9900,1,1
19376,2,29.4800,2,1
14845,2,7.2800,2,1
13448,1,21.9800,1,1
26515,4,89.4600,4,1
25041,1,32.6000,1,1
20418,2,2103.6200,4,2
27726,1,3578.2700,1,1
12406,1,35.0000,1,1
23813,2,564.4800,2,1
16319,2,27.2800,2,1
