CustomerKey,LastTransaction
11000,2013-05-03 00:00:00.000
11001,2013-12-10 00:00:00.000
11002,2013-02-23 00:00:00.000
11003,2013-05-10 00:00:00.000
11004,2013-05-01 00:00:00.000
11005,2013-05-02 00:00:00.000
11006,2013-05-14 00:00:00.000
11007,2013-03-19 00:00:00.000
11008,2013-03-02 00:00:00.000
11009,2013-05-09 00:00:00.000
11010,2013-05-23 00:00:00.000
11011,2013-03-19 00:00:00.000
11012,2013-10-15 00:00:00.000
11013,2014-01-21 00:00:00.000
11014,2013-04-30 00:00:00.000
11015,2013-01-18 00:00:00.000
11016,2013-02-09 00:00:00.000
11017,2013-10-14 00:00:00.000
11018,2013-10-24 00:00:00.000
11019,2014-01-12 00:00:00.000
11020,2012-12-29 00:00:00.000
11021,2013-01-23 00:00:00.000
11022,2013-01-20 00:00:00.000
11023,2014-01-14 00:00:00.000
11024,2013-07-26 00:00:00.000
11025,2013-10-25 00:00:00.000
11026,2013-10-15 00:00:00.000
11027,2013-10-24 00:00:00.000
11028,2013-10-07 00:00:00.000
11029,2013-11-11 00:00:00.000
11030,2013-11-09 00:00:00.000
11031,2013-11-13 00:00:00.000
11032,2013-11-08 00:00:00.000
11033,2013-11-05 00:00:00.000
11034,2013-11-10 00:00:00.000
11035,2013-11-15 00:00:00.000
11036,2013-01-22 00:00:00.000
11037,2013-01-20 00:00:00.000
11038,2013-11-12 00:00:00.000
11039,2013-11-11 00:00:00.000
11040,2013-04-03 00:00:00.000
11041,2013-01-14 00:00:00.000
11042,2013-10-17 00:00:00.000
11043,2013-08-18 00:00:00.000
11044,2013-11-08 00:00:00.000
11045,2013-10-29 00:00:00.000
11046,2013-11-12 00:00:00.000
11047,2013-11-19 00:00:00.000
11048,2013-12-25 00:00:00.000
11049,2013-10-29 00:00:00.000
11050,2013-11-19 00:00:00.000
11051,2014-01-01 00:00:00.000
11052,2013-05-27 00:00:00.000
11053,2013-01-17 00:00:00.000
11054,2013-05-30 00:00:00.000
11055,2013-06-07 00:00:00.000
11056,2013-05-31 00:00:00.000
11057,2013-05-21 00:00:00.000
11058,2013-06-04 00:00:00.000
11059,2013-03-16 00:00:00.000
11060,2013-06-25 00:00:00.000
11061,2013-06-14 00:00:00.000
11062,2013-01-07 00:00:00.000
11063,2013-01-12 00:00:00.000
11064,2013-01-25 00:00:00.000
11065,2014-01-10 00:00:00.000
11066,2013-09-19 00:00:00.000
11067,2014-01-12 00:00:00.000
11068,2013-10-08 00:00:00.000
11069,2013-06-04 00:00:00.000
11070,2013-06-26 00:00:00.000
11071,2013-12-01 00:00:00.000
11072,2013-06-15 00:00:00.000
11073,2013-08-21 00:00:00.000
11074,2013-05-27 00:00:00.000
11075,2013-06-24 00:00:00.000
11076,2013-06-21 00:00:00.000
11077,2013-06-12 00:00:00.000
11078,2014-01-28 00:00:00.000
11079,2014-01-01 00:00:00.000
11080,2013-06-23 00:00:00.000
11081,2013-04-13 00:00:00.000
11082,2013-11-06 00:00:00.000
