,CustomerKey,AverageVisitPerMonth,AverageSpentEachMonth,TotalVisit,TotalMonth,Gender,TotalChildren,HouseOwnerFlag,SalesTerritoryRegion,SalesTerritoryCountry,SalesTerritoryGroup,EnglishEducation,EnglishOccupation,Age,DateFirstPurchase,CommuteDistance,NumberCarsOwned,YearlyIncomeBand,TotalOrderNumber,TotalSpent,TotalProfit,TotalTransaction,AverageBasket,ChurnTarget
1,22814,1,4.99,1,1,M,2,1,France,France,Europe,Bachelors,Management,69,2013-03-24,10+ Miles,4,80k to 120k,1,4.99,3.1237,1,1,1
4,18546,2,29.48,2,1,F,1,1,Southeast,United States,North America,Graduate Degree,Skilled Manual,43,2013-04-13,2-5 Miles,0,40K TO 80K,2,29.48,18.4544,1,2,1
5,27082,1,782.99,1,1,M,1,1,Canada,Canada,North America,Bachelors,Skilled Manual,45,2012-04-22,2-5 Miles,0,40K TO 80K,1,782.99,296.2834,1,1,1
9,11576,1,2243.2048,3,2,M,1,1,France,France,Europe,Bachelors,Skilled Manual,50,2012-12-15,0-1 Miles,2,Below 40k,3,4486.4096,2071.6924,2,1,1
13,25516,1,21.49,1,1,F,0,1,Germany,Germany,Europe,Partial High School,Manual,39,2013-03-29,0-1 Miles,2,Below 40k,1,21.49,13.4527,1,1,1
21,21171,2,37.29,2,1,M,5,1,Australia,Australia,Pacific,Bachelors,Professional,41,2013-05-06,10+ Miles,3,40K TO 80K,2,37.29,23.3435,1,2,1
27,11238,3,2514.2566,9,3,F,2,0,United Kingdom,United Kingdom,Europe,Bachelors,Management,56,2011-01-06,0-1 Miles,4,Above 120k,9,7542.77,3241.5104,4,2,1
31,12466,2,58.98,2,1,M,1,1,France,France,Europe,Partial College,Manual,48,2013-03-19,2-5 Miles,1,Below 40k,2,58.98,13.5654,1,2,1
45,28141,2,94.48,2,1,M,0,1,Canada,Canada,North America,High School,Professional,41,2013-02-22,5-10 Miles,2,40K TO 80K,2,94.48,59.1444,1,2,1
50,24703,1,4.99,1,1,M,0,1,United Kingdom,United Kingdom,Europe,Partial High School,Manual,42,2013-04-04,1-2 Miles,2,Below 40k,1,4.99,3.1237,1,1,1
52,28725,2,78.98,2,1,M,0,1,France,France,Europe,Partial College,Clerical,40,2013-04-26,2-5 Miles,1,Below 40k,2,78.98,45.8814,1,2,1
53,12160,2,2972.615,4,2,F,0,1,Northwest,United States,North America,Partial College,Professional,51,2011-11-18,5-10 Miles,1,80k to 120k,4,5945.23,2475.2417,2,2,1
61,24932,3,71.58,3,1,M,4,1,Southwest,United States,North America,High School,Professional,78,2013-05-29,5-10 Miles,2,40K TO 80K,3,71.58,44.809,1,3,1
63,29309,2,2419.06,2,1,M,0,1,Australia,Australia,Pacific,Bachelors,Professional,52,2013-05-21,5-10 Miles,2,40K TO 80K,2,2419.06,924.0358,1,2,1
65,19130,5,664.95,5,1,F,2,1,Southwest,United States,North America,Graduate Degree,Professional,39,2013-05-04,0-1 Miles,0,80k to 120k,5,664.95,299.5509,1,5,1
70,21002,1,1496.165,3,2,F,0,0,Australia,Australia,Pacific,Partial College,Manual,37,2012-01-03,0-1 Miles,0,Below 40k,3,2992.33,1126.5317,2,1,1
72,18071,2,68.49,2,1,F,4,1,Southwest,United States,North America,Bachelors,Management,63,2013-04-25,2-5 Miles,2,40K TO 80K,2,68.49,42.8747,1,2,1
74,27557,1,782.99,1,1,M,1,1,Canada,Canada,North America,Partial College,Skilled Manual,54,2012-11-02,0-1 Miles,1,40K TO 80K,1,782.99,296.2834,1,1,1
76,14845,2,7.28,2,1,F,0,0,France,France,Europe,Partial High School,Manual,35,2013-02-16,0-1 Miles,2,Below 40k,2,7.28,4.5572,1,2,1
80,20418,2,2103.62,4,2,M,3,0,Australia,Australia,Pacific,Partial College,Clerical,65,2011-11-22,1-2 Miles,2,Below 40k,4,4207.24,1637.6376,2,2,1
81,27726,1,3578.27,1,1,F,0,0,Southwest,United States,North America,High School,Skilled Manual,35,2011-02-04,0-1 Miles,2,Below 40k,1,3578.27,1406.9758,1,1,1
84,16319,2,27.28,2,1,F,0,1,France,France,Europe,High School,Manual,38,2013-03-24,2-5 Miles,1,Below 40k,2,27.28,17.0772,1,2,1
86,28954,2,2393.06,2,1,M,0,1,Australia,Australia,Pacific,High School,Management,42,2013-04-19,10+ Miles,3,80k to 120k,2,2393.06,904.1998,1,2,1
93,24872,2,23.78,2,1,F,4,1,France,France,Europe,High School,Management,59,2013-03-15,10+ Miles,3,80k to 120k,2,23.78,14.8862,1,2,1
99,19545,3,1179.47,3,1,M,1,1,Southwest,United States,North America,Bachelors,Professional,40,2013-03-09,2-5 Miles,1,40K TO 80K,3,1179.47,420.9756,1,3,1
101,21815,3,64.47,3,1,F,2,1,Canada,Canada,North America,High School,Professional,63,2013-04-05,10+ Miles,2,40K TO 80K,3,64.47,40.3581,1,3,1
107,23289,2,34.98,2,1,M,4,1,Northwest,United States,North America,Graduate Degree,Skilled Manual,55,2013-02-13,1-2 Miles,0,40K TO 80K,2,34.98,21.8974,1,2,1
109,18486,1,3010.81,2,2,F,2,1,Australia,Australia,Pacific,High School,Skilled Manual,58,2011-06-02,5-10 Miles,2,40K TO 80K,2,6021.62,2295.3779,2,1,1
112,22399,3,2785.0525,3,1,M,0,1,Australia,Australia,Pacific,Partial College,Manual,35,2012-05-17,1-2 Miles,1,Below 40k,3,2785.0525,1096.9701,2,1,1
115,11347,2,13.98,2,1,M,2,1,Germany,Germany,Europe,Partial College,Manual,48,2013-03-16,0-1 Miles,1,Below 40k,2,13.98,8.7514,1,2,1
126,15091,2,39.98,2,1,M,1,1,Germany,Germany,Europe,Partial College,Manual,47,2013-05-06,2-5 Miles,0,Below 40k,2,39.98,25.0274,1,2,1
130,15260,4,45.95,4,1,F,0,1,Southwest,United States,North America,Partial High School,Clerical,37,2013-04-04,5-10 Miles,2,Below 40k,4,45.95,25.2046,1,4,1
132,21646,3,563.77,3,1,M,4,1,Southwest,United States,North America,Bachelors,Professional,52,2013-02-18,0-1 Miles,2,40K TO 80K,3,563.77,211.2266,1,3,1
133,17318,3,43.97,3,1,F,5,1,Australia,Australia,Pacific,Bachelors,Professional,44,2013-04-01,0-1 Miles,4,80k to 120k,3,43.97,23.9651,2,1,1
134,14507,2,39.98,2,1,M,2,1,Southwest,United States,North America,Graduate Degree,Management,74,2013-02-12,1-2 Miles,3,80k to 120k,2,39.98,25.0274,1,2,1
139,28573,1,3578.27,1,1,M,3,1,Northwest,United States,North America,Partial College,Clerical,41,2011-04-21,1-2 Miles,2,40K TO 80K,1,3578.27,1406.9758,1,1,1
141,13923,2,56.97,2,1,M,0,0,Southwest,United States,North America,Bachelors,Professional,47,2013-04-10,0-1 Miles,1,40K TO 80K,2,56.97,35.6632,1,2,1
142,27099,1,782.99,1,1,M,1,1,Canada,Canada,North America,Graduate Degree,Professional,44,2012-05-26,2-5 Miles,0,40K TO 80K,1,782.99,296.2834,1,1,1
144,25625,4,2433.04,4,1,F,3,1,Germany,Germany,Europe,Partial High School,Manual,50,2012-12-31,0-1 Miles,1,Below 40k,4,2433.04,932.7872,1,4,1
147,11052,2,2710.44,7,3,F,2,0,Australia,Australia,Pacific,Partial College,Clerical,63,2011-02-17,5-10 Miles,2,40K TO 80K,7,8131.32,3470.4073,3,2,1
